"max_carotid","max_vert","ASA","sexM","age","scenario","predicted_prob"
0,0,0,1,65,"Carotid",67.6079605246886
1,0,0,1,65,"Carotid",81.4968518651237
2,0,0,1,65,"Carotid",90.28617283098
3,0,0,1,65,"Carotid",95.1489318003594
4,0,0,1,65,"Carotid",97.6409889887273
5,0,0,1,65,"Carotid",98.868073557177
0,0,0,1,65,"Vertebral",67.6079605246886
0,1,0,1,65,"Vertebral",76.5621734929553
0,2,0,1,65,"Vertebral",83.6401125021175
0,3,0,1,65,"Vertebral",88.890746402953
0,4,0,1,65,"Vertebral",92.6052016931155
0,5,0,1,65,"Vertebral",95.1455284837223
0,0,0,1,65,"Combined",67.6079605246886
1,0,0,1,65,"Combined",81.4968518651237
2,0,0,1,65,"Combined",90.28617283098
3,0,0,1,65,"Combined",95.1489318003594
4,0,0,1,65,"Combined",97.6409889887273
5,0,0,1,65,"Combined",98.868073557177
0,1,0,1,65,"Combined",76.5621734929553
1,1,0,1,65,"Combined",87.3311652510541
2,1,0,1,65,"Combined",93.567818984618
3,1,0,1,65,"Combined",96.8451834337812
4,1,0,1,65,"Combined",98.479776381664
5,1,0,1,65,"Combined",99.2737947570928
0,2,0,1,65,"Combined",83.6401125021175
1,2,0,1,65,"Combined",91.5173155426638
2,2,0,1,65,"Combined",95.7924836868253
3,2,0,1,65,"Combined",97.9610244036984
4,2,0,1,65,"Combined",99.0233016643841
5,2,0,1,65,"Combined",99.5347758800114
0,3,0,1,65,"Combined",88.890746402953
1,3,0,1,65,"Combined",94.4087986267085
2,3,0,1,65,"Combined",97.2701634532493
3,3,0,1,65,"Combined",98.6875472162855
4,3,0,1,65,"Combined",99.3737362315486
5,3,0,1,65,"Combined",99.7022478177202
0,4,0,1,65,"Combined",92.6052016931155
1,4,0,1,65,"Combined",96.3539322897587
2,4,0,1,65,"Combined",98.2384255011654
3,4,0,1,65,"Combined",99.1574237926407
4,4,0,1,65,"Combined",99.598945832628
5,4,0,1,65,"Combined",99.8095483598212
0,5,0,1,65,"Combined",95.1455284837223
1,5,0,1,65,"Combined",97.6392906231563
2,5,0,1,65,"Combined",98.867248379926
3,5,0,1,65,"Combined",99.4599984233407
4,5,0,1,65,"Combined",99.7433773505347
5,5,0,1,65,"Combined",99.878228380937
0,0,1,1,65,"Carotid",30.5644531522576
1,0,1,1,65,"Carotid",48.1570652692322
2,0,1,1,65,"Carotid",66.2187930997847
3,0,1,1,65,"Carotid",80.5318056774463
4,0,1,1,65,"Carotid",89.7217260136822
5,0,1,1,65,"Carotid",94.8509333362357
0,0,1,1,65,"Vertebral",30.5644531522576
0,1,1,1,65,"Vertebral",40.790750880944
0,2,1,1,65,"Vertebral",51.8820219359237
0,3,1,1,65,"Vertebral",62.7908654331363
0,4,1,1,65,"Vertebral",72.5357460707041
0,5,1,1,65,"Vertebral",80.5202470207527
0,0,1,1,65,"Combined",30.5644531522576
1,0,1,1,65,"Combined",48.1570652692322
2,0,1,1,65,"Combined",66.2187930997847
3,0,1,1,65,"Combined",80.5318056774463
4,0,1,1,65,"Combined",89.7217260136822
5,0,1,1,65,"Combined",94.8509333362357
0,1,1,1,65,"Combined",40.790750880944
1,1,1,1,65,"Combined",59.2470573360845
2,1,1,1,65,"Combined",75.4173886708454
3,1,1,1,65,"Combined",86.6204556669822
4,1,1,1,65,"Combined",93.1796557517602
5,1,1,1,65,"Combined",96.6477136121719
0,2,1,1,65,"Combined",51.8820219359237
1,2,1,1,65,"Combined",69.4687641160983
2,2,1,1,65,"Combined",82.7632072690035
3,2,1,1,65,"Combined",91.0172899318042
4,2,1,1,65,"Combined",95.5321619390755
5,2,1,1,65,"Combined",97.8318348899278
0,3,1,1,65,"Combined",62.7908654331363
1,3,1,1,65,"Combined",78.0754010049631
2,3,1,1,65,"Combined",88.2557621036449
3,3,1,1,65,"Combined",94.0681686537852
4,3,1,1,65,"Combined",97.0984974918197
5,3,1,1,65,"Combined",98.6037340810335
0,4,1,1,65,"Combined",72.5357460707041
1,4,1,1,65,"Combined",84.7871644696764
2,4,1,1,65,"Combined",92.163812392984
3,4,1,1,65,"Combined",96.1269432442491
4,4,1,1,65,"Combined",98.1264759765574
5,4,1,1,65,"Combined",99.1033443087308
0,5,1,1,65,"Combined",80.5202470207527
1,5,1,1,65,"Combined",89.7149267561492
2,5,1,1,65,"Combined",94.8473322773052
3,5,1,1,65,"Combined",97.4902383190671
4,5,1,1,65,"Combined",98.7947707994636
5,5,1,1,65,"Combined",99.4252266648669
