"Method","Category","Feature_Selection","Youdens_J","AUC","Sensitivity","Specificity","Model","Dataset","Weighting","Downsampling"
"SVM","Margin-based classifier","None",0.37,0.76,"56%","81%","SVM_simpl_both","Simple","Y","Y"
"XGB","Ensemble (boosting)","Implicit",0.13,0.69,"89%","25%","XGB_simpl_weight_down","Simple","Y","Y"
"LASSO","Penalized GLM","Built-in",0.46,0.8,"72%","75%","LASSO_weighted","Simple","Y","N"
"XGB","Ensemble (boosting)","Implicit",0.28,0.68,"43%","85%","XGB_simpl_weight_only","Simple","Y","N"
"SVM","Margin-based classifier","None",0.06,0.53,"6%","100%","SVM_simpl_weighted","Simple","Y","N"
"MLP","Neural network","None",0.41,0.75,"65%","76%","MLP_simpl_down","Simple","N","Y"
"SVM","Margin-based classifier","None",0.37,0.76,"56%","81%","SVM_simpl_downsampled","Simple","N","Y"
"Bayes","Bayes GLM","None",0.37,0.76,"65%","71%","Bayes_simpl_down","Simple","N","Y"
"GAM","Additive spline model","None",0.36,0.74,"65%","70%","GAM_simpl_down","Simple","N","Y"
"RF","Ensemble (bagging)","Implicit",0.35,0.73,"64%","71%","RF_rf_down_simple","Simple","N","Y"
"XGB","Ensemble (boosting)","Implicit",0.31,0.71,"63%","68%","XGB_simpl_down_only","Simple","N","Y"
"XGB","Ensemble (boosting)","Implicit",0.12,0.72,"12%","100%","XGB_simpl_unweight_nodown","Simple","N","N"
"RF","Ensemble (bagging)","Implicit",0.11,0.66,"11%","99%","RF_rf_nodown_simple","Simple","N","N"
"GAM","Additive spline model","None",0.11,0.78,"12%","100%","GAM_simpl_nodown","Simple","N","N"
"MLP","Neural network","None",0.07,0.75,"7%","100%","MLP_simpl_nodown","Simple","N","N"
"SVM","Margin-based classifier","None",0.06,0.53,"6%","100%","SVM_simpl_unadjusted","Simple","N","N"
"Bayes","Bayes GLM","None",0.06,0.78,"6%","100%","Bayes_simpl_nodown","Simple","N","N"
"LASSO","Penalized GLM","Built-in",0.03,0.8,"4%","100%","LASSO_unweighted","Simple","N","N"
"SVM","Margin-based classifier","None",0.32,0.73,"59%","73%","SVM_full_both","Full","Y","Y"
"XGB","Ensemble (boosting)","Implicit",0.17,0.72,"92%","25%","XGB_full_weight_down","Full","Y","Y"
"XGB","Ensemble (boosting)","Implicit",0.29,0.75,"42%","87%","XGB_full_weight_only","Full","Y","N"
"SVM","Margin-based classifier","None",0.07,0.64,"7%","100%","SVM_full_weighted","Full","Y","N"
"RF","Ensemble (bagging)","Implicit",0.35,0.73,"64%","70%","RF_rf_down_full","Full","N","Y"
"MLP","Neural network","None",0.35,0.73,"57%","77%","MLP_full_down","Full","N","Y"
"Bayes","Bayes GLM","None",0.35,0.76,"69%","65%","Bayes_full_down","Full","N","Y"
"SVM","Margin-based classifier","None",0.32,0.73,"59%","73%","SVM_full_downsampled","Full","N","Y"
"XGB","Ensemble (boosting)","Implicit",0.3,0.72,"63%","67%","XGB_full_down_only","Full","N","Y"
"XGB","Ensemble (boosting)","Implicit",0.09,0.78,"10%","99%","XGB_full_unweight_nodown","Full","N","N"
"MLP","Neural network","None",0.09,0.72,"9%","100%","MLP_full_nodown","Full","N","N"
"Bayes","Bayes GLM","None",0.08,0.77,"8%","100%","Bayes_full_nodown","Full","N","N"
"SVM","Margin-based classifier","None",0.07,0.64,"7%","100%","SVM_full_unadjusted","Full","N","N"
"RF","Ensemble (bagging)","Implicit",0.05,0.72,"5%","100%","RF_rf_nodown_full","Full","N","N"
